service,API,endpoint,parsing
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_slug
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_description
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_category
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_language
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_language_code
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_language_label
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_create_date
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:number_of_courses
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_date_end
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_visibility
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_policy
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_can_enroll
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:is_opened
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:course_type
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:duration
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:waiting
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_rating
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_thumbnail
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_price
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:price_status
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:prices:currency_code
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:access_status
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:is_affiliate
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:is_user_subscribed
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:is_user_enrolled
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:is_new
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:total_duration
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_ecommerce:sold_individually
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_ecommerce:price
learn,Retrieves some content for all the given catalogs,GET | /learn/v1/catalog_content/public/preview,data:items:0:data:sub_items:0:item_ecommerce:discounted_price
